block	x	y	humans	dogs	chicken	dist
2	0.522	7.956	3	1	0	121.25587878790199
2	0.531	7.957	1	0	0	130.01537363581974
2	0.535	7.959	5	1	0	134.46663868416107
2	0.552	7.964	4	0	0	152.128963017645
2	0.553	7.965	3	1	0	153.42112986002422
2	0.559	7.966	5	1	6	155.21560352408036
2	0.574	7.973	2	0	5	156.36870380168753
2	0.584	7.976	4	0	0	155.57941553984668
2	0.589	7.979	3	0	0	156.58556411732067
2	0.602	7.982	7	0	0	154.72124725372097
2	0.631	7.993	2	0	0	154.5832612118743
2	0.645	7.999	5	1	12	150.8130822040347
2	0.653	8.001	4	1	20	142.6282618885312
2	0.615	7.987	4	0	0	154.72376405544065
5	0.375	0.141	7	4	0	99.99997602150707
5	0.39	0.154	4	1	0	102.50450130453926
5	0.392	0.158	3	0	0	101.32698959233969
5	0.392	0.16	5	0	7	99.99262598269745
5	0.394	0.161	5	1	0	100.81555272083037
5	0.398	0.163	4	0	1	102.46173113174508
5	0.402	0.168	7	0	0	102.10682599651841
5	0.407	0.175	5	3	0	101.16297380034497
5	0.418	0.187	7	2	0	101.35430840929838
5	0.425	0.19	6	2	0	104.56867723576356
5	0.428	0.193	4	0	6	104.80267912921788
5	0.433	0.202	3	1	0	102.52474932924163
5	0.442	0.213	6	0	0	101.89308509243297
5	0.452	0.223	5	0	0	102.6742055257023
5	0.458	0.229	3	1	0	103.1415167606069
5	0.461	0.235	4	1	0	101.37460108075618
5	0.615	0.088	5	0	0	100.70220894075692
5	0.61	0.086	4	1	0	103.09437380510761
5	0.599	0.071	14	0	0	101.28374543442625
5	0.594	0.066	5	1	0	101.67384292966557
5	0.584	0.057	3	1	0	103.12207352884256
5	0.575	0.048	7	0	0	103.82354551941646
5	0.565	0.032	8	0	0	100.60185522597624
5	0.556	0.021	5	0	0	99.97057646202168
5	0.549	0.016	4	1	0	101.85032156978625
5	0.546	0.014	5	3	0	102.75130099476529
5	0.533	0.	5	1	0	101.57493965593527
5	0.447	0.113	2	0	5	128.40181082293728
5	0.451	0.118	6	0	0	134.79525182310718
5	0.456	0.122	4	0	0	141.11058817223162
5	0.463	0.13	4	0	0	151.73986286563056
5	0.466	0.134	3	0	0	156.72101125316019
5	0.471	0.138	3	0	0	163.03630831520496
