village	housenum	x	y	humans	dogs	chicken
CL	120.	0.8770875301429442	1.8046677213209392	3.	0.	0.
CL	121.	0.9216603916664781	1.8511094334636624	3.	0.	0.
CL	122.	0.9216777024886369	1.883192937852428	6.	1.	8.
CL	123.	0.9216854602483409	1.8975751984296778	1.	1.	3.
CL	124.	0.921687846969462	1.9020005093751848	1.	0.	0.
CL	125.	0.8994151450591517	1.9042251767619405	4.	1.	12.
CL	126.	0.9217134958413453	1.9495726019991224	1.	0.	0.
CL	127.	0.9105842977894554	1.963960864118036	7.	4.	0.
CL	128.	0.9217379374626944	1.994932039083892	5.	0.	1.
CL	129.	0.8883270899095805	1.9949500360567782	3.	0.	8.
CL	130.	0.8883413889818712	2.0215018956273667	1.	1.	3.
CL	131.	0.9217522382850802	2.021483904663583	3.	2.	7.
CL	132.	0.8994896550819931	2.042516122613577	1.	0.	5.
CL	133.	0.8772121839149349	2.0358901482990177	6.	0.	1.
CL	134.	0.8660823822183374	2.0491720712359864	2.	0	0
CL	135.	0.8995021600544533	2.065749001455899	9.	1.	24.
CL	136.	0.8549519842681548	2.061347664690061	1.	0.	0.
CL	137.	0.8326899960702576	2.083486191218938	3.	0.	0.
CL	138.	0.7882396906737767	2.264947735100563	6.	0.	6.
CL	139.	0.7659699548096341	2.2727039726300546	1.	0.	0.
CL	140.	0.7771371613359861	2.329120656014311	3.	0.	0.
CL	141.	0.7660120757244613	2.3512531579253135	10.	1.	4.
CL	142.	0.7438134171153479	2.491768546187231	4.	1.	17.
CL	143.	0.7327048680882626	2.5448781662585276	6.	1.	8.
CL	144.	0.7327220162277399	2.576961628794521	3.	1.	12.
CL	145.	0.7216157974245334	2.634496542885074	6.	0.	1.
CL	146.	0.7216352873311962	2.6710053077383265	8.	5.	25.
CL	147.	0.6660307576825062	2.8214953317577027	2.	2.	7.
CL	148.	0.5880721338927515	2.8215368459050865	6.	2.	12.
CL	149.	0.5213422577533038	2.9941590728891754	1.	1.	3.
CL	150.	0.3319361927242426	2.8471186015239454	2.	0.	7.
CL	151.	0.2985148331858909	2.8272225525974903	9.	1.	4.
CL	152.	0.3319232479615266	2.822779489272392	3.	2.	10.
CL	153.	0.2695864817526399	2.879235124070618	1.	1.	3.
CL	154.	0.23172918572106482	2.8947437609964766	3.	2.	15.
CL	155.	0.2094541758685864	2.892542948782591	2.	0.	27.
CL	156.	0.05352803022162789	2.874924612423399	7.	1.	6.
CL	157.	0.8553719851091728	2.845733660736485	4.	1.	17.
CL	158.	0.8553312936115844	2.769397083711098	1.	0.	0.
CL	159.	0.8441648216397653	2.714086666960668	8.	0.	25.
CL	160.	0.8107627986481702	2.730699399182754	1.	0.	0.
CL	161.	0.978938639034709	2.744991921676771	2.	2.	7.
CL	162.	1.00009238955829	2.7328110164312136	5.	1.	11.
CL	163.	0.9889418319678498	2.7073714129111295	2.	4.	0
CL	164.	1.0112169574134668	2.709572175053353	5.	0.	0.
CL	165.	0.9443750485633018	2.6719927072142156	4.	1.	0.
CL	166.	1.011206321618829	2.689658264291623	1.	0.	0.
CL	167.	1.0446219704328996	2.698491045562946	1.	0.	0.
CL	168.	1.0223226051575693	2.650930819181113	6.	0.	6.
CL	169.	1.122538825684046	2.619900022959783	1.	0.	0.
CL	170.	0.9999912749057103	2.5436288780982608	8.	3.	2.
CL	171.	0.9999735104836418	2.5104390291493246	7.	3.	10.
CL	172.	0.9876831475628478	2.43632159742306	4.	0.	2.
CL	173.	0.9888169945957088	2.4739361600633174	2.	2.	0.
CL	174.	0.9698491828690976	2.408672943182353	4.	0.	0.
CL	175.	1.0667526558128202	2.4307475780881163	8.	0.	0.
CL	176.	1.0890177024671175	2.4141407037775764	1.	0.	3.
CL	177.	1.1112857158624365	2.4030654691628683	3.	0.	0.
CL	178.	1.1001321271151028	2.372094228204915	5.	2.	0.
CL	179.	1.0889820963158172	2.347760965486458	11.	2.	20.
CL	180.	1.0666558842913219	2.2504159827209804	16.	4.	11.
CL	181.	1.0666059282319793	2.157484362612948	4.	2.	5.
CL	182.	1.0688118934012891	2.117655326679568	4.	1.	6.
CL	183.	1.066545188597729	2.044638823535152	2.	1.	5.
CL	185.	1.1220777536547075	1.7624948705887107	3.	0.	0.
CL	186.	1.0105806494323133	1.5269071193031465	4.	2.	5.
CL	187.	1.2555960844645142	1.5311995748383538	3.	0.	8.
CL	188.	1.3000886927414967	1.4293929916237857	6.	1.	0.
CL	189.	1.3112322709018827	1.441556578553545	5.	2.	11.
CL	190.	1.3223445912406078	1.3961909675316946	3.	1.	12.
CL	191.	1.2554530076159836	1.267892972999249	2.	1.	8.
CL	192.	1.233174272969677	1.2590544549292133	5.	2.	11.
CL	193.	1.1886077805502282	1.2247824773716474	1.	0.	0.
CL	194.	1.144043709576863	1.1949358342690317	5.	0.	27.
CL	195.	1.3779885210112752	1.3209301772195658	2.	0	0
CL	196.	1.4024488967736488	1.2456863109668603	3.	1.	12.
CL	197.	1.3667985434020693	1.2235791005795988	1.	0.	0.
CL	198.	1.3779300857623866	1.2136160523680672	5.	6.	9.
CL	199.	1.3511935290625843	1.1992483130404992	2.	2.	0.
CL	200.	1.3445167754365457	1.2092089327611006	8.	0.	33.
CL	201.	1.3355957495724624	1.188193500580681	1.	1.	3.
CL	202.	1.3222120965464228	1.1527981990555105	9.	1.	24.
CL	203.	1.3110817688601628	1.1649739082592845	1.	0.	0.
CL	204.	1.3110757379828328	1.1539106013955092	1.	0.	0.
CL	205.	1.2999194735007222	1.118514093401771	7.	0.	11.
CL	206.	1.2887915635018317	1.1351151249574514	8.	0.	0.
CL	207.	1.2776340912341766	1.0975059623413301	4.	1.	17.
CL	208.	1.2776304702105108	1.0908679797132805	4.	1.	17.
CL	209.	1.2442111526845565	1.0753975823756434	6.	1.	3.
CL	210.	1.2553402601633934	1.0610092128230662	6.	1.	3.
CL	211.	1.2330657481277285	1.0599150366814598	7.	1.	7.
CL	212.	1.233056088457488	1.042213754996638	2.	0.	7.
CL	213.	1.21078278802554	1.043332240749109	5.	2.	11.
CL	214.	1.2107719193913908	1.0234183018501284	3.	2.	5.
CL	215.	2.4377817716831487	0.5005547917714068	7.	3.	3.
CL	216.	2.4155052672189186	0.49614172717896565	2.	7.	12.
CL	217.	2.4466944502810293	0.5060815711662059	4.	0.	3.
CL	218.	2.457835146653906	0.5127134612939557	2.	1.	11.
CL	219.	2.4578388094317916	0.5193514973148154	8.	3.	2.
CL	220.	2.4689776752190937	0.5226643704397986	2.	0.	27.
CL	221.	2.33525392813317	0.3789140985115438	3.	0.	0.
CL	222.	2.7248735719933848	0.06007228065544723	8.	0.	6.
CL	223.	0.9108979223084361	2.548101858125662	6.	3.	0
CL	224.	0.7028337032610352	0.8511083731673494	7.	0.	11.
CL	225.	2.3019893031307674	0.6444537151007239	9.	1.	4.
CL	251.	1.5710331345059103	2.012283182317944	4.	1.	0.
CL	252.	0.5724479252847914	0.6974003033633949	7.	0.	0.
CL	253.	1.0542940857261556	0.0023619130157328527	5.	2.	21.
CL	254.	1.7774041275393984	0.5861065451040588	6.	1.	0.
CL	255.	1.1928185402574627	0.7778228102476135	5.	3.	0
CL	256.	0.6547276510226538	0.45396356051971054	6.	0.	3.
CL	257.	1.499172049819549	0.9369668663455144	4.	0.	3.
CL	258.	1.5871910566269207	1.0044050304512808	3.	0.	0.
CL	259.	1.2609334831670367	1.1063657170115988	6.	1.	5.
CL	260.	1.2395834128146817	0.7589895868698022	3.	0.	0.
CL	261.	1.0677463942955683	2.2072685604823192	4.	1.	0.
CL	262.	1.058907529028943	2.338926470864493	5.	2.	6.
CL	263.	0.9989432412563701	2.666431913939519	4.	1.	6.
CL	264.	0.2529539058516548	0.9442849474627906	7.	4.	0.
CL	265.	0.6024242796432873	0.527009749688105	7.	1.	6.
